b,n,c,m,dis
201001,8,201001,8,0.0
201001,8,201002,75,230.40858238174383
201001,8,201003,85,223.9586298451521
201001,8,201004,65,172.73817795113538
201001,8,201005,42,163.01715249626955
201001,8,201006,124,192.69303903542368
201001,8,201007,49,272.0495219764086
201001,8,201008,36,81.38154424840899
201001,8,201009,67,123.8529232735207
201001,8,201010,66,135.18414680151497
201001,8,201011,97,396.940127267784
201001,8,201012,19,181.2709058527907
201001,8,201013,141,628.4602309518972
201001,8,201014,45,249.99101911940684
201001,8,201101,57,136.605734957127
201001,8,201102,63,430.08358572408997
201001,8,201103,34,99.72828720444001
201001,8,201104,100,192.94380163511497
201001,8,201105,80,264.4897627799318
201001,8,201106,40,272.62706832157807
201001,8,201107,2,11.480961959369404
201001,8,201108,82,198.61009171607702
201001,8,201109,125,472.7073529769147
201001,8,201110,24,145.48119902835992
201001,8,201111,107,374.5181744415257
201001,8,201112,40,142.5778893989336
201001,8,201113,5,74.36971658716163
201001,8,201114,11,35.540914358054906
201001,8,201115,55,223.22095321910075
201001,8,201116,21,170.20691571097856
201001,8,201117,80,310.46201408193593
201001,8,201118,47,135.82239221782336
201001,8,201119,82,234.3885562579694
201001,8,201120,19,51.20116591064496
201001,8,201121,18,73.70284011731597
201001,8,201201,10,75.63222274191813
201001,8,201202,14,69.15408926403457
201001,8,201203,27,162.291615407477
201001,8,201204,34,298.00630621088965
201001,8,201205,81,213.42431986465445
201001,8,201206,42,124.23216680365543
201001,8,201207,30,125.30860466702359
201001,8,201208,82,260.5599368078882
201001,8,201209,116,322.3689908842292
201001,8,201210,75,280.00947465060153
201001,8,201211,101,302.0348912368826
201001,8,201212,4,79.5739642358968
201001,8,201213,77,223.9994285840792
201001,8,201214,228,541.6325595553036
201001,8,201215,82,428.4258928966545
201001,8,201216,48,411.9281294912182
201001,8,201217,86,612.1976569938594
201001,8,201218,16,67.50135011784776
201001,8,201219,6,40.62431740762131
201001,8,201220,45,118.69208583035875
201001,8,201221,76,333.801955962208
201001,8,201222,13,76.92067121612797
201001,8,201223,78,303.6613905485683
201001,8,201224,66,344.53196422919063
201001,8,201225,12,50.661279935620314
201001,8,201301,37,125.01939509871723
201001,8,201302,11,85.94525561679926
201001,8,201303,20,55.81143685228398
201001,8,201304,52,151.8424342045886
201001,8,201305,68,173.09326423023552
201001,8,201306,59,197.41583216452213
201001,8,201307,71,404.51745719662483
201001,8,201308,47,95.92650601082352
201001,8,201309,58,178.12436823590576
201001,8,201310,35,133.52064835246847
201001,8,201311,99,394.1508709123438
201001,8,201312,88,244.76833519082467
201001,8,201313,28,199.09578541051982
201001,8,201314,2,112.82298557442128
201001,8,201315,84,149.63700550526735
201001,8,201316,5,119.1852829351496
201001,8,201317,37,93.43538825424649
201001,8,201318,15,133.57496464091307
201001,8,201319,91,518.7591328469193
201001,8,201320,24,183.74713328650597
201001,8,201321,71,289.06807381428564
201001,8,201322,12,111.59918222158922
201001,8,201323,83,356.1496419099244
201001,8,201324,27,247.63666183284795
201001,8,201325,98,323.6295295976132
201001,8,201326,22,214.48526679082102
201001,8,201327,45,314.9903599685662
201001,8,201328,24,314.67582283442664
201001,8,201329,108,347.33168801377957
201001,8,201330,85,483.77655600892456
201001,8,201331,15,88.55043292287831
201001,8,201401,8,42.87950731820677
201001,8,201402,8,65.77376803436582
201001,8,201403,20,102.7655724798577
201001,8,201404,19,51.726737714700256
201001,8,201405,13,74.08337231758591
201001,8,201406,6,118.36592165227037
201001,8,201407,40,172.54197653421522
201001,8,201408,76,454.4968896233754
201001,8,201409,107,492.96033051609487
201001,8,201410,112,324.41562963157423
201001,8,201411,75,424.008209753139
201001,8,201412,92,174.12142983467697
201001,8,201413,19,312.4810216015348
201001,8,201414,20,145.84732876091115
201001,8,201415,69,308.3784172113836
201001,8,201416,125,234.75904091793205
201001,8,201417,21,114.630134921703
201001,8,201418,34,300.85966473114644
201001,8,201419,65,462.69165599940163
201001,8,201420,25,259.5379911133798
201001,8,201421,58,164.4831119169811
201001,8,201422,102,372.580912975003
201001,8,201423,24,56.694104882884695
201001,8,201501,27,78.56411604333323
201001,8,201502,16,135.9612549116947
201001,8,201503,24,123.98140308807733
201001,8,201504,50,298.24652874441284
201001,8,201505,10,70.25615007511173
201001,8,201506,69,470.4890422328015
201001,8,201507,44,297.6539089286406
201001,8,201508,79,202.16780154124447
201001,8,201509,113,489.1383266494281
201001,8,201510,119,220.73519974387645
201001,8,201511,58,371.758100738283
201001,8,201512,58,248.69527962527172
201001,8,201513,107,473.5823585182416
201001,8,201514,25,112.16672891247688
201001,8,201515,124,564.9954781762774
201001,8,201516,46,362.1606685576857
201001,8,201517,40,309.0617906011521
201001,8,201518,11,67.4475361289805
201001,8,201519,23,97.01714705750126
201001,8,201520,20,157.8851683142732
201001,8,201521,80,438.84841394219535
201001,8,201522,75,284.9817303150969
201001,8,201523,23,161.28703665145622
201001,8,201524,53,245.0262015796259
201001,8,201525,46,289.8421367499285
201001,8,201526,38,239.73555652622136
201001,8,201527,40,258.59798873970345
201001,8,201601,94,551.1417724566459
201001,8,201602,5,119.19046242743727
201001,8,201603,43,149.52132213910417
201001,8,201604,61,215.92424463357375
201001,8,201605,22,122.33746623318487
201001,8,201606,19,115.52056980448134
201001,8,201607,16,155.9037477786489
201001,8,201608,37,168.8644561340679
201001,8,201609,15,131.4902711556692
201001,8,201610,56,334.8479757414428
201001,8,201611,6,95.23245182247425
201001,8,201612,32,173.44013295739748
201001,8,201613,15,95.22291581496388
201001,8,201614,85,603.1405413644176
201001,8,201615,4,67.95254007244839
201001,8,201616,99,480.4198340338031
201001,8,201617,80,337.6316612246824
201001,8,201618,80,527.279081057346
201001,8,201620,28,312.50595590727943
